Company,Description,Industry,Location,Founded
TechNova,"Develops cloud-based software for small and medium businesses, focusing on automation and productivity tools.",SaaS,Bangalore,2015
GreenHarvest,"Produces organic fertilizers and sustainable farming solutions for agricultural businesses.",Agriculture,Pune,2012
MediCore,"Provides diagnostic equipment and healthcare technology to hospitals and medical laboratories.",Healthcare,Hyderabad,2018
FinEdge,"Builds digital payment solutions, mobile banking platforms, and financial management software.",FinTech,Mumbai,2016
AutoSphere,"Manufactures electric vehicle components including batteries, motors, and charging systems.",Automotive,Chennai,2019
EduSpark,"Creates online learning platforms and interactive educational content for students and teachers.",EdTech,Bangalore,2017
FoodNest,"Operates a food delivery platform connecting customers with restaurants and cloud kitchens.",FoodTech,Delhi,2020
CyberShield,"Provides cybersecurity monitoring, threat detection, and data protection services to enterprises.",Cybersecurity,Pune,2014
BuildPro,"Supplies construction materials and provides project management solutions for infrastructure companies.",Construction,Ahmedabad,2010
TravelEase,"Offers online travel booking services for flights, hotels, and vacation packages.",TravelTech,Gurgaon,2013
